"","study_ID","study","experiment","first_author","year","n_turbines","n_turbines_studied","total_capacity_study_turbines_kW","total_capacity_kW","capacity_class","turbine_type","max_diameter","n_blades","rpm","head","max_flow_rate_HPP","sampling_method","country","global_region","location","waterbody","MQ_waterbody","Lat","Long"
"176","Mathur_2001_Test6","Mathur et al. (2001)","Test 6","Mathur",2001,6,1,135000,810000,"LHP","Kaplan",7.9,6,90,29.7,3590,"balloon","US","North America","Lower Granite Dam","Snake River",NA,46.6595564128902,-117.429357832263
"177","Mathur_1994_Hadley_Falls_35","Mathur et al. (1994)","Hadley Falls 35","Mathur",1994,1,1,17000,30000,"LHP","Kaplan",4.318,5,128,16,44,"balloon","US","North America","Hadley Falls","Connecticut River",NA,42.2134805897858,-72.6019971222975
"178","Mathur_1994_Hadley_Falls_100","Mathur et al. (1994)","Hadley Falls 100","Mathur",1994,1,1,17000,30000,"LHP","Kaplan",4.318,5,128,16,117,"balloon","US","North America","Hadley Falls","Connecticut River",NA,42.2134805897858,-72.6019971222975
"179","Mathur_1996_Rocky_Reach_Dam_3m","Mathur et al. (1996)","Rocky Reach Dam 3m","Mathur",1996,11,1,116000,1300000,"LHP","Kaplan",7.1,6,90,30,6125,"balloon","US","North America","Rocky Reach Dam","Columbia River",NA,47.5323660736623,-120.297267057624
"180","Mathur_1996_Rocky_Reach_Dam_9m","Mathur et al. (1996)","Rocky Reach Dam 9m","Mathur",1996,11,1,116000,1300000,"LHP","Kaplan",7.1,6,90,30,6125,"balloon","US","North America","Rocky Reach Dam","Columbia River",NA,47.5323660736623,-120.297267057624
"181","Heisey_1992_SafeHarbor_Kaplan","Heisey et al. (1992)","Safe Harbor","Heisey",1992,12,1,33000,417000,"LHP","Kaplan",5.6,5,109,23,3143,"balloon","US","North America","Safe Harbor","Susquehanna River",NA,39.9241850674461,-76.3898117955209
"182","Heisey_1992_SafeHarbor_MixedFlowVented","Heisey et al. (1992)","Safe Harbor","Heisey",1992,12,1,37500,417000,"LHP","Other",6.1,7,77,23,3143,"balloon","US","North America","Safe Harbor","Susquehanna River",NA,39.9241850674461,-76.3898117955209
"183","Heisey_1992_SafeHarbor_MixedFlowUnvented","Heisey et al. (1992)","Safe Harbor","Heisey",1992,12,1,37500,417000,"LHP","Other",6.1,7,77,23,3143,"balloon","US","North America","Safe Harbor","Susquehanna River",NA,39.9241850674461,-76.3898117955209
"184","Schoeneman_1961_McNary_1955_80","Schoeneman et al. (1961)","McNary 1955 80","Schoeneman",1961,14,1,70000,980000,"LHP","Kaplan",7.11,6,85.7,26.7,4247.5,"net","US","North America","McNary","Columbia River","5409",45.9358828027699,-119.298012157776
"185","Schoeneman_1961_McNary_1956_75","Schoeneman et al. (1961)","McNary 1956 75","Schoeneman",1961,14,1,70000,980000,"LHP","Kaplan",7.11,6,85.7,26.7,4247.5,"net","US","North America","McNary","Columbia River","5409",45.9358828027699,-119.298012157776
"186","Schoeneman_1961_BigCliff_1957_80","Schoeneman et al. (1961)","Big Cliff 1957 80","Schoeneman",1961,1,1,19761,19761,"LHP","Kaplan",3.68,6,163.6,27.4,106.2,"net","US","North America","Big Cliff","Santiam River",NA,44.7508755824577,-122.283112344305
"187","Schoeneman_1961_BigCliff_1957_40","Schoeneman et al. (1961)","Big Cliff 1957 40","Schoeneman",1961,1,1,19761,19761,"LHP","Kaplan",3.68,6,163.6,27.4,106.2,"net","US","North America","Big Cliff","Santiam River",NA,44.7508755824577,-122.283112344305
"188","Duncan_2011_Detroit_Dam","Duncan & Carlson (2011)","Detroit Dam","Duncan",2011,2,1,50000,1e+05,"LHP","Francis",3.3,13,163.6,61,151.2,"balloon","US","North America","Detroit Dam","Santiam River",NA,44.7215218272408,-122.250432809051
"189","Ferguson_2006_McNary_2002_317","Ferguson et al. (2006)","McNary 2002 317","Ferguson",2006,14,1,70000,980000,"LHP","Kaplan",7.11,6,85.7,22,6570,"telemetry","US","North America","McNary","Columbia River","5409",45.9358828027699,-119.298012157776
"190","Ferguson_2006_McNary_2002_464","Ferguson et al. (2006)","McNary 2002 464","Ferguson",2006,14,1,70000,980000,"LHP","Kaplan",7.11,6,85.7,22,6570,"telemetry","US","North America","McNary","Columbia River","5409",45.9358828027699,-119.298012157776
"191","Turnpenny_2000_Francis_wild","Turnpenny et al. (2000)","Francis wild","Turnpenny",2000,1,1,117.3,117.3,"vSHP","Francis",0.9,NA,200,6.9,NA,"net","Great Britain","Europe","Unkown","Unkown",NA,NA,NA
"192","Heisey_2019_Beaucaire","Heisey et al. (2019)","Beaucaire","Heisey",2019,NA,1,42166.8,210000,"LHP","Kaplan",6.3,4,94,15.9,NA,"balloon","France","Europe","Beaucaire","Rhone",NA,43.8240787995553,4.642950142683
"193","Heisey_2019_Fessenheim","Heisey et al. (2019)","Fessenheim","Heisey",2020,4,1,45000,180000,"LHP","Kaplan",6.5,4,88.2,14.5,NA,"balloon","France","Europe","Fessenheim","Rhine",NA,47.9146935827614,7.57075745384436
"194","Heisey_2019_Ottmarsheim","Heisey et al. (2019)","Ottmarsheim","Heisey",2021,4,1,40000,160000,"LHP","Kaplan",6.3,5,93.75,16.1,1500,"balloon","France","Europe","Ottmarsheim","Rhine",NA,47.7739309660992,7.52231383023699
"195","Heisey_2019_Moses_Saunders","Heisey et al. (2019)","Moses Saunders","Heisey",2022,32,1,57000,1957000,"LHP","Kaplan",6.2,6,99.2,16.5,NA,"balloon","US","North America","Moses Saunders","St. Lawrence River",NA,45.0070098085597,-74.7943591822153
"196","Heisey_2019_Wilder","Heisey et al. (2019)","Wilder","Heisey",2023,3,1,19000,35600,"LHP","Kaplan",4.6,5,112.5,25.2,4463,"balloon","US","North America","Wilder","Connecticut River",NA,43.6672422584801,-72.3034112968662
"197","Heisey_2019_Vernon_8_28","Heisey et al. (2019)","Vernon 8 28","Heisey",2024,10,1,4000,32400,"LHP","Kaplan",3.1,5,144,10.5,3392,"balloon","US","North America","Vernon","Connecticut River",NA,42.771476497578,-72.5141515620161
"198","Heisey_2019_Vernon_8_48","Heisey et al. (2019)","Vernon 8 48","Heisey",2025,10,1,4000,32400,"LHP","Kaplan",3.1,5,144,10.5,3392,"balloon","US","North America","Vernon","Connecticut River",NA,42.771476497578,-72.5141515620161
"199","Heisey_2019_Bellows_Falls","Heisey et al. (2019)","Bellows Falls","Heisey",2026,3,1,16000,40800,"LHP","Francis",4.5,15,85.7,17.5,3392,"balloon","US","North America","Bellows Falls","Connecticut River",NA,43.1332547489988,-72.4418902634912
"200","Heisey_2019_Cabot_Station","Heisey et al. (2019)","Cabot Station","Heisey",2027,6,1,10336,62000,"LHP","Francis",3,15,97.3,17.5,NA,"balloon","US","North America","Cabot Station","Connecticut River",NA,42.6058634969799,-72.5649032563939
"201","Heisey_2019_Station_1","Heisey et al. (2019)","Station 1","Heisey",2028,1,1,5693,5693,"SHP","Francis",1.4,13,200,13.4,NA,"balloon","US","North America","Station 1","Connecticut River",NA,42.5876387123195,-72.5791669821103
"202","Heisey_2019_Vernon_4","Heisey et al. (2019)","Vernon 4","Heisey",2029,10,1,2500,32400,"LHP","Francis",2.8,13,75,13.5,3392,"balloon","US","North America","Vernon","Connecticut River",NA,42.771476497578,-72.5141515620161
"203","Heisey_2019_Vernon_9","Heisey et al. (2019)","Vernon 9","Heisey",2030,10,1,4200,32400,"LHP","Francis",2.8,12,62.5,10.5,3392,"balloon","US","North America","Vernon","Connecticut River",NA,42.771476497578,-72.5141515620161
"204","Scruton_2007_Studies2003","Scruton et al. (2007)","Studies2003","Scruton",2007,9,9,20500,20500,"LHP","Francis",2,7,265,10.2,295,"telemetry","Canada","North America","Bishop’s Falls","Exploits River","290",49.014811954089,-55.4717409311452
"205","Scruton_2007_Studies2004","Scruton et al. (2007)","Studies2004","Scruton",2007,9,9,20500,20500,"LHP","Francis",2,7,265,10.2,295,"telemetry","Canada","North America","Bishop’s Falls","Exploits River","290",49.014811954089,-55.4717409311452
"206","Scruton_2004_BishopsFalls2001","Scruton et al. (2001)","BishopsFalls 2001","Scruton",2004,9,9,14400,14400,"LHP","Francis",2,7,241,10.2,200,"telemetry","Canada","North America","Bishop’s Falls","Exploits River","290",49.014811954089,-55.4717409311452
"207","Dadswell_1986_HogansMelvin_1985","Dadswell et al. (1986)","HogansMelvin 1985","Dadswell",1986,1,1,17800,17800,"LHP","Kaplan",7.6,4,50,5.5,408,"telemetry","US","North America","Annapolis","Annapolis River","408",44.7533823304258,-65.5128886350638
"208","Stokesbury_1986_AnnapolisShads","Stokesbury (1986)","Annapolis Shads","Stokesbury",1986,1,1,17800,17800,"LHP","Kaplan",7.6,4,50,5.5,408,"net","US","North America","Annapolis","Annapolis River","408",44.7533823304258,-65.5128886350638
"209","Kynard_1982_JuvShads_16MW","Kynard et al. (1982)","Juv Shads 16MW","Kynard",1982,2,1,17000,30000,"LHP","Kaplan",4.318,5,255,15.5,127.4,"net","US","North America","Hadley Falls","Connecticut River",NA,42.2134805897858,-72.6019971222975
"210","Kynard_1982_JuvShads_12MW","Kynard et al. (1982)","Juv Shads 12MW","Kynard",1982,2,1,17000,30000,"LHP","Kaplan",4.318,5,255,15.5,127.4,"net","US","North America","Hadley Falls","Connecticut River",NA,42.2134805897858,-72.6019971222975
"211","Kynard_1982_JuvShads_5MW","Kynard et al. (1982)","Juv Shads 5MW","Kynard",1982,2,1,17000,30000,"LHP","Kaplan",4.318,5,255,15.5,127.4,"net","US","North America","Hadley Falls","Connecticut River",NA,42.2134805897858,-72.6019971222975
"212","Knight_1982_Essex_dam","Knight & Kuzmeskus (1982)","Essex dam","Knight",1982,2,1,7800,15600,"LHP","Kaplan",3.66,3,128.6,8.84,254.8,"telemetry","US","North America","Lawrence","Merrimack River",NA,42.7003147128905,-71.1660192441243
"213","Andrew_1958_Seton","Andrew & Geen (1958)","Seton","Andrew",1958,1,1,43027,43027,"LHP","Francis",3.66,NA,120,45.4,127.4,"net","Canada","North America","Seton Creek","Seton Creek",NA,50.6727558018827,-121.924206760034
"214","Hamilton_1954_Baker_Dam","Hamilton & Andrew (1954)","Baker Dam","Hamilton",1954,4,4,9929,39717,"LHP","Francis",NA,NA,300,76.2,62.3,"net","Canada","North America","Baker Dam","Baker River",NA,48.5476092266206,-121.741022606072
"215","Munro_1965_Clunie","Munro (1965)","Clunie","Munro",1965,3,2,41000,61000,"LHP","Francis",NA,NA,NA,52.7,NA,"net","Great Britain","Europe","Clunie station","River Tummel",NA,56.716824280906,-3.77792988479942
"216","Munro_1965_Invergarry_0MW","Munro (1965)","Invergarry 0MW","Munro",1965,1,1,20000,20000,"LHP","Kaplan",NA,NA,NA,53.3,NA,"net","Great Britain","Europe","Invergarry station","River Garry",NA,57.0718726491958,-4.77394887777589
"217","Munro_1965_Invergarry_1MW","Munro (1965)","Invergarry 1MW","Munro",1965,1,1,20000,20000,"LHP","Kaplan",NA,NA,NA,53.3,NA,"net","Great Britain","Europe","Invergarry station","River Garry",NA,57.0718726491958,-4.77394887777589
"218","Munro_1965_Invergarry_2MW","Munro (1965)","Invergarry 2MW","Munro",1965,1,1,20000,20000,"LHP","Kaplan",NA,NA,NA,53.3,NA,"net","Great Britain","Europe","Invergarry station","River Garry",NA,57.0718726491958,-4.77394887777589
"219","Munro_1965_Invergarry_5MW","Munro (1965)","Invergarry 5MW","Munro",1965,1,1,20000,20000,"LHP","Kaplan",NA,NA,NA,53.3,NA,"net","Great Britain","Europe","Invergarry station","River Garry",NA,57.0718726491958,-4.77394887777589
"220","Munro_1965_Invergarry_10MW","Munro (1965)","Invergarry 10MW","Munro",1965,1,1,20000,20000,"LHP","Kaplan",NA,NA,NA,53.3,NA,"net","Great Britain","Europe","Invergarry station","River Garry",NA,57.0718726491958,-4.77394887777589
"221","Munro_1965_Invergarry_15MW","Munro (1965)","Invergarry 15MW","Munro",1965,1,1,20000,20000,"LHP","Kaplan",NA,NA,NA,53.3,NA,"net","Great Britain","Europe","Invergarry station","River Garry",NA,57.0718726491958,-4.77394887777589
"222","Munro_1965_Invergarry_18MW","Munro (1965)","Invergarry 18MW","Munro",1965,1,1,20000,20000,"LHP","Kaplan",NA,NA,NA,53.3,NA,"net","Great Britain","Europe","Invergarry station","River Garry",NA,57.0718726491958,-4.77394887777589
"223","Munro_1965_Invergarry_20MW","Munro (1965)","Invergarry 20MW","Munro",1965,1,1,20000,20000,"LHP","Kaplan",NA,NA,NA,53.3,NA,"net","Great Britain","Europe","Invergarry station","River Garry",NA,57.0718726491958,-4.77394887777589
